filename,chroma_stft_mean,chroma_stft_std,rmse_mean,rmse_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,rolloff_mean,rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,peak_value,Class
Raag Bhoopali.mp3 (2): part 1.mp3,0.31230432,0.29695126,0.060954984,0.03792382,1567.004017,278.9760054,2173.716444,257.1100735,2815.965828,761.9730019,0.032287463,0.012244466,-284.48395,40.344757,168.00847,16.590462,-19.795593,13.891976,11.39627,10.470686,-6.1428447,13.164233,-1.7184216,10.109865,-11.330575,9.105412,-14.966648,8.205909,-11.99775,9.233815,-19.02323,8.360134,-11.516201,8.174022,-3.733858,7.379241,-5.3506374,9.005945,-11.255745,8.374111,-7.0074573,6.91938,-2.1425004,6.9753413,-5.4822974,7.648906,-7.146633,8.285344,-2.8149052,7.466082,-4.1211624,7.009882,0.79089934,Hindustani
Raag Bhoopali.mp3 (2): part 2.mp3,0.31229866,0.30634144,0.07398934,0.057176024,1788.013355,334.5932011,2245.636301,281.4891219,3330.80259,871.1014083,0.037832321,0.014163573,-265.99155,56.23062,154.42706,18.184397,-28.576582,19.084114,8.984492,11.323025,-15.148318,18.746029,-8.532284,11.776553,-7.889629,9.472039,-15.866632,10.213739,-12.430713,9.280964,-13.763562,8.087306,-11.475884,8.355459,-4.414291,8.319731,-6.316349,10.021968,-13.020467,7.667941,-9.061632,7.210884,-5.4009824,8.041148,-7.0687394,8.396953,-7.7183833,7.36118,-2.8511336,7.768399,-3.2924504,7.1049557,1.4864795,Hindustani
Raag Bhoopali.mp3 (2): part 3.mp3,0.35036987,0.30418032,0.057513814,0.040376313,1763.272735,300.7494448,2228.469571,294.442525,3378.387009,774.6611664,0.037153811,0.010622902,-273.02332,51.17727,161.84084,16.567465,-27.369408,18.01662,13.223188,11.283085,-8.617848,19.339434,-5.7241735,10.90057,-4.8094378,9.552327,-8.832817,8.769845,-8.994982,8.948652,-14.725337,8.325882,-8.218722,7.982593,-1.9145447,8.948074,-4.945745,9.39998,-10.196157,7.506359,-7.2321486,7.697383,-5.0218544,7.9529734,-6.472393,7.8159213,-7.091909,6.9328356,-3.4407637,7.06167,-3.2329028,6.4098067,0.7344015,Hindustani
Raag Paraj.mp3: part 1.mp3,0.2999287,0.30440804,0.05225135,0.033838738,1764.61115,312.5603452,2285.567584,283.0962666,3265.149068,846.0208398,0.035600015,0.012403624,-297.21054,48.108574,158.83765,17.04105,-32.65098,14.036118,11.900746,11.545453,-16.670555,14.192228,-1.3544359,9.951923,-8.884736,11.5569105,-17.004808,10.102871,-17.24928,10.245701,-18.966696,8.425823,-12.402449,8.155872,-4.9161696,7.3828397,-6.0710893,8.107564,-12.02185,7.439606,-9.134227,7.052023,-6.408805,7.06518,-4.207908,6.996148,-7.778299,7.5200014,-4.002967,7.773858,-2.3737948,7.0864015,0.5793072,Hindustani
Raag Paraj.mp3: part 2.mp3,0.308274,0.3070747,0.07456357,0.049320642,1826.987391,315.9962161,2328.131025,305.5011942,3479.151798,875.8575589,0.03756716,0.011450052,-255.99886,44.867004,162.16747,15.114033,-33.672478,14.764034,17.309555,10.448759,-16.35356,15.436305,-1.4334015,10.237234,-6.425406,10.820226,-11.605409,8.975161,-13.219613,9.629676,-15.021257,7.7774262,-9.550914,8.026846,-4.1573443,7.6551285,-4.5825634,8.843547,-9.842777,7.0668154,-7.7303286,7.393141,-6.746699,7.056444,-4.8184423,7.3026166,-7.0271654,7.459868,-2.334524,7.061839,-1.8172281,6.660454,0.79695106,Hindustani
Raag Paraj.mp3: part 3.mp3,0.33519804,0.30528247,0.07738235,0.052494653,1892.082736,347.6123024,2312.093195,315.3668667,3675.801358,877.9734895,0.040735588,0.012862342,-242.25647,52.371475,161.37343,17.404163,-36.71529,16.367449,15.66249,11.152611,-16.80276,18.642002,-5.2365055,11.591798,-4.0527925,9.732883,-10.141521,9.202116,-10.894833,9.417382,-14.40262,7.0842233,-9.358717,7.928377,-2.5886014,8.389144,-3.9448802,8.979003,-10.937019,6.8933473,-9.331412,7.3733673,-7.576807,7.8914495,-5.8538194,8.024092,-6.67819,7.329158,-2.684376,7.082366,-1.798803,6.382676,0.8642909,Hindustani
Raag Kedar.mp3 (2): part 1.mp3,0.30155504,0.30260906,0.034664232,0.02193531,1233.744006,289.7135294,1827.698267,334.5069934,1991.513182,797.81732,0.026594946,0.008330248,-366.83218,32.42969,173.68698,18.14723,-2.5441616,14.707896,6.943997,9.809009,-5.3570666,11.694752,-21.303432,10.885134,-7.926446,8.016264,-10.691388,8.746031,-16.993416,8.295329,-15.8804865,8.313818,-8.146962,7.234585,-2.2227733,6.5089064,-4.955664,7.348504,-7.947886,6.830028,-4.5507164,7.0038443,-2.8730958,6.29804,-7.11537,6.7543945,-5.2416506,6.9351907,-2.3369691,6.172935,-4.992538,7.252123,0.5663595,Hindustani
Raag Kedar.mp3 (2): part 2.mp3,0.2908715,0.3057844,0.04123763,0.030781409,1279.760278,302.6856172,1809.098885,379.4346157,2070.759258,882.5566033,0.028995613,0.007702579,-344.45554,41.067303,166.20143,21.45127,3.337178,13.976891,2.04324,10.264765,-9.271419,15.079761,-22.77242,12.2394,-6.8924623,8.906474,-9.104012,9.889668,-16.217915,9.086029,-11.50458,7.7740335,-7.6383085,7.873778,-2.953217,7.444558,-3.21108,8.3216915,-7.508456,6.845924,-4.7767143,7.2906327,-4.7987633,6.8049135,-9.149965,7.074004,-6.172764,7.0648804,-2.0850513,6.616962,-2.856683,7.2471614,0.68669844,Hindustani
Raag Kedar.mp3 (2): part 3.mp3,0.32542524,0.30749705,0.04935152,0.032235507,1311.181381,411.8860571,1895.908834,503.1919074,2126.33754,1143.96611,0.028180503,0.007636007,-310.72833,43.217663,165.44495,20.752447,9.83182,16.311512,3.500061,10.757909,-8.626583,15.119182,-18.107117,12.853837,-3.2158318,8.839854,-3.799714,8.644292,-13.635824,8.368551,-10.044316,7.7582183,-5.1613574,7.522814,-1.3886963,8.006505,-2.1727192,7.9783173,-6.593081,7.1319804,-5.251028,7.679637,-5.300712,6.558118,-7.961168,6.958474,-5.374199,6.3703876,-1.565278,6.2451105,-3.372321,6.8805084,0.7319144,Hindustani
Raag Sohani.mp3 (2): part 1.mp3,0.2682788,0.30908123,0.042355515,0.029570064,1300.553155,285.1534794,1905.524292,339.6404286,2096.78349,836.4284316,0.027901567,0.008015172,-351.8777,42.611877,151.84978,23.040134,2.6200445,13.8452835,2.8147318,10.787704,-9.008844,13.392631,-23.077917,12.0703335,-9.7906885,9.725842,-13.58138,9.950868,-22.978088,8.587176,-15.157698,8.473351,-7.4515104,7.905395,-8.812743,7.8304205,-8.355972,7.3651056,-6.42984,6.582585,-6.2269435,6.861394,-5.9265947,6.5585876,-5.7623167,7.1119404,-4.4617896,7.139394,-4.1401806,6.958872,-6.2794857,6.8629327,0.47337914,Hindustani
Raag Sohani.mp3 (2): part 2.mp3,0.29521206,0.30866694,0.046249684,0.029558979,1267.486093,350.9770564,1871.853537,426.5923689,2046.940406,977.3482913,0.027798279,0.007548016,-339.28052,43.2642,173.41762,18.787285,1.9243425,13.821236,12.062604,10.385144,-6.540792,15.54913,-17.667189,12.470873,-2.7225413,9.828489,-8.058542,9.312853,-16.8742,8.117749,-9.160798,7.588585,-3.8548155,7.548033,-4.9950867,7.609627,-4.284137,7.2966237,-3.8538587,7.090703,-4.4724703,7.719341,-4.8837857,7.2287025,-4.4242077,7.4756517,-2.969915,7.4575944,-2.4688394,6.8717675,-5.6800237,6.956857,0.6175444,Hindustani
Raag Sohani.mp3 (2): part 3.mp3,0.30412513,0.3094685,0.051766574,0.03418137,1297.697183,366.3563157,1895.567787,451.1430019,2060.585547,991.248695,0.02838872,0.007274294,-321.71133,52.89377,166.26651,25.14974,6.3200674,16.145386,8.357853,10.222134,-8.946163,16.821968,-18.755318,13.208254,-2.5178874,10.230305,-6.8204746,9.390302,-16.432568,8.272053,-8.865564,7.368389,-4.6388116,7.744734,-4.8825417,8.031012,-4.022478,8.088941,-5.5533805,6.962755,-5.350834,7.6554213,-5.7959867,6.9028597,-6.6771274,7.5277576,-3.460005,6.893368,-2.1992328,6.6096544,-5.6146054,6.963011,0.6909602,Hindustani
Raag Puriya.mp3: part 1.mp3,0.33976686,0.30092725,0.038799305,0.028407322,1642.50127,461.1465541,2207.349709,363.0021206,3444.89524,1116.180092,0.030546322,0.016319981,-318.41156,35.856365,157.46602,16.89723,-10.412062,13.885317,25.694405,12.711923,4.3440733,11.763909,-13.723837,9.828356,-5.293966,8.047188,-8.65183,7.2328286,-9.410183,7.4974647,-13.207695,8.1261835,-10.541173,7.5358324,-8.301002,6.2716875,-6.6583924,7.1551595,-5.1906776,6.9541707,-4.6607027,6.510737,-2.8980372,5.895175,-3.9636996,5.895159,-4.468119,5.926804,-4.5962367,6.0087967,-5.7702074,5.599481,0.8369386,Hindustani
Raag Puriya.mp3: part 2.mp3,0.341953,0.30520266,0.028181672,0.02607516,1802.771159,565.2312634,2350.877127,480.9291372,3846.947368,1396.910186,0.032427615,0.015764645,-346.18842,52.941498,137.27736,23.675074,1.343944,19.297314,21.652876,12.659129,3.3973153,15.443689,-14.8642435,12.130569,-9.987536,9.404107,-8.104274,9.310181,-7.3590684,8.873219,-11.718489,9.268284,-9.153193,9.007965,-3.1846228,8.757206,-1.7919444,8.921649,-5.0473433,7.845435,-4.4019775,7.1933436,-2.946864,6.955016,-5.2232466,7.8676105,-4.8504806,7.08668,-4.902927,6.979671,-5.810281,6.758781,0.9132248,Hindustani
Raag Puriya.mp3: part 3.mp3,0.34456185,0.30873558,0.025161214,0.02084309,1925.80913,629.7267194,2442.315514,522.270332,4085.649054,1502.909747,0.033494857,0.01456141,-357.76883,58.86433,145.5755,21.036287,-7.89977,20.850546,27.276514,12.2795105,-0.5919605,19.41624,-13.88675,12.882995,-9.558565,10.387317,-7.226429,10.184985,-4.3276343,10.319875,-9.498659,10.370365,-6.022041,8.8566475,1.8562242,8.707638,3.2012625,9.031059,-4.982431,8.014686,-3.7980285,7.2736583,-2.9219651,7.626845,-5.5038166,8.6466465,-3.587532,7.045801,-2.2537458,6.652499,-2.783037,6.757161,0.4103845,Hindustani
Raag Bhimpalasi.mp3 (3): part 1.mp3,0.2894469,0.2989472,0.15300128,0.08616014,2013.527459,542.7731298,2489.646056,371.1045198,4068.03642,1336.078909,0.042500354,0.021360915,-172.5387,38.202106,161.04001,16.697392,-23.65251,16.667418,18.768625,12.534452,-20.382465,14.309987,-8.079021,12.193236,-8.108582,10.196292,-3.9378762,10.772379,2.0682075,9.8529215,-8.055912,8.873004,5.340382,9.877317,-3.9936764,11.054606,-3.3670452,11.230495,-1.7673045,7.8321533,-7.3048224,7.1814175,-2.771283,8.563079,0.16371223,7.27946,-7.301571,6.725068,-4.2724295,7.7385535,6.54624,8.66332,1.0931889,Hindustani
Raag Bhimpalasi.mp3 (3): part 2.mp3,0.32493562,0.2986629,0.1616075,0.07379659,1806.521557,544.5929462,2337.626795,414.271666,3558.304085,1478.377298,0.037570236,0.017227853,-166.61317,33.43623,173.27669,14.760827,-17.206696,18.286219,20.376106,12.400186,-19.129593,15.114552,-8.351018,12.551795,-6.275818,10.263691,-2.4729958,11.1436,3.5158327,9.70486,-6.8943405,9.389516,4.1355915,10.22527,-3.5840607,10.384715,0.90809125,9.867499,2.6457968,8.324598,-7.1365366,7.3809896,-2.3169127,7.121605,0.9315336,7.73971,-8.485931,7.0774794,-3.6204793,6.94441,6.9561815,8.046206,1.0790828,Hindustani
Raag Bhimpalasi.mp3 (3): part 3.mp3,0.329919,0.30229408,0.15735273,0.0753145,1905.458398,583.5568978,2467.091141,467.7944135,3749.210474,1738.113309,0.038364326,0.01729164,-170.31407,39.078815,169.10834,18.049456,-14.834086,17.523252,15.871561,13.861171,-28.296865,17.262897,-8.362731,14.239742,-9.953799,11.017079,-0.8696977,12.024144,8.706617,10.661485,-9.328345,9.510977,3.2358916,12.160829,-1.0384254,10.648925,4.1728277,9.558333,3.270081,8.018712,-6.5497003,7.6674967,-2.7661035,7.244162,-3.0515566,8.044449,-7.2846503,7.7542777,-2.77584,7.683802,1.7673169,8.561221,1.1021782,Hindustani
Raag Bihag.mp3 (2): part 1.mp3,0.33779046,0.30519527,0.039843116,0.027479673,1945.907454,406.4300656,2484.719248,297.7873403,4024.693506,982.5948387,0.03902496,0.019554264,-293.71875,32.841553,144.72072,16.802591,-26.955912,12.441298,19.474026,10.139499,-1.2667209,9.549711,1.205108,9.514399,6.070057,9.226832,-5.7756205,7.5506477,-2.6211674,7.7099595,-7.191305,8.387803,-5.056816,7.3006744,-8.492902,7.7955956,-4.984405,6.7762733,1.2949232,7.181809,0.60956645,6.686738,-0.72408813,6.164779,-2.2521076,7.3004413,5.8419337,5.9778757,2.8001788,5.603154,-2.8760242,6.3927093,0.60911596,Hindustani
Raag Bihag.mp3 (2): part 2.mp3,0.337972,0.3014259,0.05004744,0.032581344,1903.062011,360.015927,2233.753962,231.7833915,3777.455588,757.7455266,0.041911377,0.016192918,-275.81366,38.378178,154.34464,18.377504,-42.505096,14.492513,22.229132,9.637299,-2.8725672,11.910607,-2.1158898,10.337239,6.6834116,11.819397,-7.6869473,9.487737,-3.4985888,8.742203,-6.3924117,9.326107,0.32176617,7.4642253,-0.12144156,8.003707,-1.5812805,7.542286,3.5260649,6.9735727,0.05872006,7.007723,-0.7911182,6.9995117,1.6605053,7.999624,7.260373,6.473822,3.3123045,6.0441422,-5.312125,7.7015986,0.7875428,Hindustani
Raag Bihag.mp3 (2): part 3.mp3,0.37055972,0.30436623,0.05205021,0.032297943,1828.370775,375.8295241,2200.654774,261.1204645,3568.664625,823.0966318,0.039806489,0.014922366,-268.34662,45.615093,158.99928,19.125324,-37.047745,14.341569,19.319311,10.380474,0.03986713,13.285441,1.2341624,10.890157,6.094838,10.261789,-8.351102,9.631747,-3.5970209,8.199909,-4.322935,8.706111,1.3892798,8.048988,0.036830943,8.285856,-1.0624514,7.3267193,3.0682395,6.7809587,-1.1523149,7.369694,-2.918526,7.409175,0.333712,7.4072227,5.576628,6.4101143,2.9631562,6.1454616,-3.3549287,7.560631,0.87271,Hindustani
Raag Gaud Malhar.mp3 (2): part 1.mp3,0.285808,0.30337176,0.051009685,0.033850286,1661.85653,588.7633608,2729.753566,649.4219774,2728.730636,1708.962622,0.03023399,0.013291084,-331.03754,32.441837,161.59485,21.338331,5.6899037,13.6870165,-0.60029787,8.931961,4.3542957,10.155189,-4.3060026,11.23907,-20.80459,10.3291645,0.4573615,7.145568,-7.436314,7.8224473,-10.386962,6.8942204,-11.54306,6.812324,-3.2187629,6.782696,-4.2146416,6.324339,1.4815265,6.1947184,-1.7085094,6.2936826,-7.0578027,6.9606886,-8.128914,6.95766,-7.2428336,5.664559,-4.25636,5.7388873,-5.199404,6.509217,0.4829598,Hindustani
Raag Gaud Malhar.mp3 (2): part 2.mp3,0.25975028,0.30415195,0.056583505,0.041521844,1730.023751,538.8420935,2583.798781,644.9666,2855.549762,1340.822855,0.035815104,0.013148396,-321.08826,35.273853,160.63853,22.298143,-6.521943,15.786025,-6.249584,8.800906,4.8676944,10.627167,-13.666565,13.34025,-18.676107,11.017389,5.218222,8.534283,-9.068128,8.437373,-14.166076,7.6205287,-8.939284,6.9666433,-2.1159515,7.690248,-2.8486657,6.4605613,1.287369,6.3372464,-1.4933354,6.7869806,-6.8913083,7.8966002,-6.4406104,7.220745,-3.8574286,6.3111863,-3.181189,5.9016633,-4.9200993,7.292497,0.5332482,Hindustani
Raag Gaud Malhar.mp3 (2): part 3.mp3,0.291595,0.3094992,0.07102634,0.046352718,1475.326673,435.13823,2277.97915,558.5185635,2317.183995,1063.13446,0.031662613,0.011327745,-298.61475,39.512646,175.4772,23.236485,-1.6492975,18.262827,-5.86599,10.104211,6.793694,12.061097,-15.38065,13.884534,-16.365019,11.468478,5.0665064,9.057028,-9.163033,9.196066,-15.674214,7.8915067,-7.543289,7.416238,-0.2705086,8.731849,-0.9969828,6.945601,-0.15731119,6.420666,-4.557761,6.7188077,-10.154897,8.373736,-8.051392,6.8821397,-4.1673656,6.1950407,-4.222422,5.814801,-5.0962563,7.340967,0.64647126,Hindustani
Raag Chandrakauns.mp3: part 1.mp3,0.3438286,0.29595736,0.05190779,0.017642085,1410.949947,261.1597821,2048.281771,271.156698,2544.064126,818.3112134,0.027089907,0.007837872,-296.79553,32.27471,190.10191,11.427839,-20.043964,13.425813,26.879623,12.236186,-15.108685,11.726459,9.266875,8.679337,-7.0651407,7.6396236,-7.627201,7.927773,-9.95712,9.837758,-22.859646,7.43325,-8.872182,8.494977,-9.536295,7.971781,-3.4589806,7.712441,-11.036289,6.74927,-5.817258,6.869525,-6.2091174,6.498541,-7.2119207,6.3966646,3.7533302,6.505154,-0.4723217,6.772523,-3.5362353,6.123376,0.37852013,Hindustani
Raag Chandrakauns.mp3: part 2.mp3,0.36180902,0.300387,0.0575284,0.018398212,1455.148028,310.3157415,2001.340295,270.3336195,2634.593287,861.6940585,0.031587808,0.010615352,-278.70288,31.727772,188.83882,12.864363,-21.05232,18.460888,23.351078,11.255431,-12.984266,14.725406,5.652088,11.370434,-2.6301594,8.155687,-4.7879224,9.223028,-8.33119,9.103059,-20.07244,8.441881,-6.372666,9.372644,-2.174421,9.023217,0.07863903,8.823068,-11.172868,8.205244,-3.5943332,7.121771,-0.7035138,6.127451,-8.044503,7.5995274,1.6267232,7.502293,4.062035,6.365074,-2.0129504,6.6060905,0.37890568,Hindustani
Raag Chandrakauns.mp3: part 3.mp3,0.31942922,0.30691403,0.059764326,0.022888044,1483.150546,397.5078557,2055.797331,324.0475691,2667.594536,1061.025363,0.030090287,0.012459139,-283.57196,33.574978,178.10428,15.559408,-15.266639,17.81277,21.675598,14.785345,-10.525742,14.176164,3.7956874,10.5106125,-3.885806,8.970623,-8.629712,8.970342,-11.57698,9.29227,-19.650967,8.440496,-6.963015,9.170198,-4.663828,9.172953,-1.9353718,9.132732,-11.268171,7.662719,-4.5889688,7.7972465,-3.8110147,6.979528,-8.358189,7.5048547,2.5617888,7.1682634,0.6586175,6.8825526,-3.0499024,6.2947593,0.3994398,Hindustani
Raag Dhani.mp3 (2): part 1.mp3,0.3413886,0.30658177,0.05323781,0.03788539,1415.96662,385.0127826,1810.94973,409.7402952,2738.491031,879.9422711,0.032265495,0.011844315,-290.8059,55.55151,167.95596,17.407991,-7.80943,20.3495,13.084935,17.37413,10.383733,17.427763,4.6112027,13.602457,-6.4592633,8.834377,-11.924337,9.974923,-4.3988595,9.495474,-7.921412,9.315214,-6.722576,10.211226,2.7422087,8.279995,4.2308807,9.360976,-8.97,7.9791684,-3.8302991,8.270694,0.88224024,8.2417965,-3.9426749,8.261484,1.4294155,7.433788,-2.8457808,7.2521896,-6.5645323,7.497239,0.58396876,Hindustani
Raag Dhani.mp3 (2): part 2.mp3,0.33918187,0.31019542,0.06376723,0.04750117,1368.407617,387.9906574,1794.46969,429.2075519,2606.208062,875.5070279,0.029909151,0.00947732,-280.9031,51.872074,171.17984,15.332117,-7.3382516,20.645239,11.715276,15.761609,9.248054,19.085485,6.930497,13.007398,-4.7165227,9.952953,-10.114976,9.649721,-4.6589036,9.27342,-7.17335,9.847081,-3.300578,9.629832,1.9457494,8.141201,2.3595512,8.995214,-6.749727,8.049853,-3.7292113,7.256881,-1.0885019,7.803034,-4.200056,8.676753,0.37560627,7.4629416,-3.7377257,6.684911,-6.1551356,8.445331,0.6183076,Hindustani
Raag Dhani.mp3 (2): part 3.mp3,0.36142766,0.30832297,0.05778447,0.034579623,1346.72139,446.2306165,1769.986474,448.1485336,2571.882778,1024.380727,0.029457236,0.013757522,-285.1716,52.157578,178.09492,15.67612,-8.054476,19.575296,12.114271,16.84306,8.788467,19.005167,8.244606,12.574308,-3.3700194,8.8812,-10.2605715,9.819325,-3.4329138,8.925431,-7.812097,9.1669655,-4.8385158,9.028834,1.9473166,8.438443,2.3907917,8.978953,-7.448717,7.651359,-4.401123,7.6881824,-1.8484925,7.975333,-4.6156554,8.190997,0.7471075,7.176196,-2.4672353,6.995965,-5.8072867,7.448434,0.55978274,Hindustani
Raag Dhani.mp3: part 1.mp3,0.3652058,0.3059915,0.09299247,0.04733825,979.9156049,238.5711421,874.2826269,132.8154477,1924.295219,556.6861613,0.032749669,0.012834726,-281.6633,35.057034,216.0057,20.111557,-4.0990286,25.555971,-28.339594,15.238971,29.540571,12.825897,10.389586,10.871684,-19.805695,11.253423,-1.4119805,10.199735,9.981994,9.161541,-3.3625112,11.429864,-6.077866,9.144339,3.7667515,9.522453,6.1767755,7.490593,-1.6280904,7.9337764,-8.12609,7.658267,-5.224799,6.865807,-0.41465354,6.050905,-2.9492462,6.5465875,-7.2399178,6.7088614,-7.113135,6.5509453,0.65104795,Hindustani
Raag Dhani.mp3: part 2.mp3,0.36277026,0.30807725,0.08587166,0.048363842,1274.406155,213.1279399,978.3913128,93.50588132,2443.231978,340.272824,0.048193725,0.016239295,-270.67386,23.436722,213.05513,17.909845,-31.630424,15.580375,-36.338642,10.98351,36.52099,9.234158,9.163376,9.56976,-20.53572,10.865277,2.2648363,9.164778,8.110781,8.683594,-5.875098,8.867603,-4.3212686,8.014845,3.5349698,9.584534,4.481007,7.4137974,-2.0199778,8.923322,-9.934917,8.128699,-6.268607,6.8272386,1.9310076,6.4288917,-1.2495033,6.8659787,-6.98154,7.1625566,-5.4326086,7.3206973,0.6260065,Hindustani
Raag Dhani.mp3: part 3.mp3,0.3679721,0.30710846,0.066827916,0.041957125,1353.921253,231.1063145,1003.870165,112.8437192,2509.039002,348.9122145,0.052310706,0.017580671,-285.422,31.68665,204.41809,23.344767,-37.222694,16.403257,-35.246365,12.668978,36.888756,8.865261,7.845149,9.520017,-17.156963,10.503737,5.8053946,8.78905,6.5130644,8.447294,-6.6073675,8.125127,-2.6944702,8.222583,1.8363919,8.835197,1.2770844,8.680565,-1.9850644,9.512077,-8.482444,7.5701833,-5.575613,6.8946905,2.6969187,7.0358534,-0.41372234,8.105178,-6.215352,8.885661,-4.2016597,9.016987,0.623073,Hindustani
Raag Bihag.mp3: part 1.mp3,0.3938231,0.28237292,0.04027012,0.019633643,2192.747239,386.9009014,2647.481509,307.0939802,4599.973059,1033.015283,0.051966999,0.017124511,-250.73845,30.431446,153.50137,12.603924,-34.299862,11.797575,21.765427,9.601587,-15.411922,10.227537,7.187846,9.0529995,1.5615172,9.1470175,-6.0456476,7.209239,-4.8688273,6.8449717,-13.276821,7.4612293,-6.3913765,7.5213294,-5.153682,6.975353,-3.966475,7.278861,-9.217844,6.6797767,-6.407808,6.02708,-3.5890844,6.350726,-2.3773754,6.098523,-0.14310752,5.671709,-1.5491583,5.8556666,-1.836356,6.3026476,0.92333496,Hindustani
Raag Bihag.mp3: part 2.mp3,0.36277512,0.2936986,0.0348014,0.029860584,2288.579867,471.9216143,2670.861116,390.0144098,4730.758941,1171.54204,0.054049796,0.020760725,-273.1087,42.050903,136.13025,15.708175,-27.455845,17.12374,12.796307,11.127687,-7.8046746,12.213304,-0.8569468,10.710372,2.8711152,10.104247,-6.5899644,8.625031,-7.3339314,7.811658,-10.390404,7.481325,-6.323749,8.0212,-3.8436558,7.280484,-4.2528753,9.206075,-7.853231,7.0794435,-7.8262944,6.599189,-3.7555325,6.874709,-3.4001255,7.027167,-0.22702628,6.192753,-0.8310839,6.503999,-3.114378,7.0618052,0.9869025,Hindustani
Raag Bihag.mp3: part 3.mp3,0.38353515,0.29670733,0.04686219,0.039307192,2284.161014,569.6373751,2792.795707,502.0449294,4811.029894,1469.016097,0.048946562,0.018640455,-250.91965,46.812458,145.16039,16.117554,-24.1756,14.827999,19.601818,11.515129,-10.16761,17.06329,3.5393271,11.781673,2.7220016,10.3481655,-2.581216,9.360149,-6.6066566,8.199186,-7.754652,7.7488046,-5.0036006,7.8330197,-2.7389116,7.2734,-1.3811042,9.057404,-5.172245,6.5837913,-6.2920475,7.012009,-3.5882428,6.8927255,-3.0073643,6.704088,-0.065996535,6.4891148,-0.6432826,6.3634725,-2.527011,6.6821632,1.0136133,Hindustani
Raag Dagori_Deepki.mp3: part 1.mp3,0.3867124,0.28876436,0.08189211,0.030786356,1789.413984,264.8778361,2316.466225,198.8624784,3068.224707,721.9706648,0.046524074,0.012701876,-209.91814,48.055,181.59026,15.026896,-36.464043,14.438539,4.430562,12.61695,-25.737942,9.862248,-2.4707003,7.6019077,-5.7140536,8.523195,1.5906116,8.758807,-18.331558,7.035076,-8.328423,6.8131413,-14.583207,6.960269,0.7004386,8.704814,-9.743297,7.151612,-11.054855,6.730393,-1.4881586,6.997262,-11.084583,6.416622,-10.33153,7.889682,-6.9849944,6.837115,3.9067416,6.6949706,-10.38974,6.0481014,0.7075717,Hindustani
Raag Dagori_Deepki.mp3: part 2.mp3,0.36952132,0.28915325,0.11065794,0.04444887,1926.639995,256.0178814,2335.92235,170.077479,3525.452404,505.9452924,0.052607679,0.013997859,-174.94313,33.704956,176.26874,10.132332,-44.674385,12.688858,12.834435,8.7691345,-23.026579,10.538157,-3.2772195,8.71376,-4.696456,10.375349,0.4130238,9.20985,-19.709452,7.3216906,-9.444056,7.4463816,-12.304727,7.8425374,1.6395981,8.356853,-8.168821,8.02879,-11.75054,7.7089396,0.7348668,6.6227636,-7.6074243,7.460648,-7.6944814,7.7418165,-4.5623946,6.912375,4.7020006,8.289228,-8.963444,6.6044893,0.95040035,Hindustani
Raag Dagori_Deepki.mp3: part 3.mp3,0.38612175,0.29212523,0.121480666,0.059838966,1946.228278,307.8273913,2366.560108,219.8356144,3629.680001,766.5521775,0.051073134,0.013320533,-167.95558,49.830578,173.0864,16.099627,-40.425312,14.246185,10.896027,9.622238,-27.774843,15.5179,-5.1277814,9.30643,-0.13476758,10.143804,-1.3981669,9.45127,-20.2987,8.35299,-7.963918,7.4485683,-10.396423,7.913784,-0.3441914,8.5210285,-5.721993,8.590089,-8.054671,8.654138,-1.2178979,6.887277,-10.457082,9.077924,-6.908854,7.9158497,-2.581921,7.1381054,1.6358875,7.675643,-8.807742,6.806449,0.96454906,Hindustani
Raag Desh.mp3: part 1.mp3,0.37721032,0.30043694,0.13733266,0.027050892,1404.179039,360.0374679,2034.004821,470.3651483,2348.842243,797.8531401,0.029498633,0.012332496,-210.20427,35.134502,205.09639,21.112507,-16.80207,14.71438,7.152421,15.258837,-11.971626,11.055427,13.440674,11.067241,-18.099022,9.488404,-10.097042,11.017063,-5.1761374,9.634369,-6.9342117,10.780342,-6.14433,8.209749,-24.163166,7.3453345,-12.661233,8.753254,-14.027986,8.248248,0.4183002,7.996076,3.6126478,9.047267,-12.310315,9.829402,1.142932,6.9751387,2.9688585,8.408828,-12.609684,6.969358,0.64272165,Hindustani
